
dev_stats_dataframe
,0
Total token count,67619.0
Sentence count,4300.0
Average sentence length,15.725348837209303
Total NE,4128.0

dev_ner_labels_dataframe
,0
O,63491
B-PER,1092
I-PER,549
B-PROD,248
B-GPE_LOC,454
I-GPE_LOC,76
B-ORG,688
B-DRV,129
I-ORG,182
B-GPE_ORG,121
I-PROD,259
B-LOC,194
I-LOC,56
B-EVT,16
I-DRV,46
I-GPE_ORG,11
I-EVT,7

dev_ner_labels_proportion_dataframe
,0
B-PER,0.26453488372093026
I-PER,0.13299418604651161
B-PROD,0.060077519379844964
B-GPE_LOC,0.10998062015503876
I-GPE_LOC,0.018410852713178296
B-ORG,0.16666666666666666
B-DRV,0.03125
I-ORG,0.04408914728682171
B-GPE_ORG,0.02931201550387597
I-PROD,0.0627422480620155
B-LOC,0.04699612403100775
I-LOC,0.013565891472868217
B-EVT,0.003875968992248062
I-DRV,0.011143410852713179
I-GPE_ORG,0.0026647286821705426
I-EVT,0.001695736434108527

test_stats_dataframe
,0
Total token count,54739.0
Sentence count,3450.0
Average sentence length,15.866376811594202
Total NE,3468.0

test_ner_labels_dataframe
,0
O,51271
B-PER,961
I-PER,510
B-PROD,131
I-PROD,126
B-GPE_LOC,428
I-GPE_LOC,79
B-GPE_ORG,61
B-ORG,521
I-ORG,248
B-DRV,78
B-LOC,185
I-LOC,85
B-EVT,14
I-EVT,4
I-DRV,13
I-GPE_ORG,7
B-MISC,14
I-MISC,3

test_ner_labels_proportion_dataframe
,0
B-PER,0.2771049596309112
I-PER,0.14705882352941177
B-PROD,0.037773933102652826
I-PROD,0.03633217993079585
B-GPE_LOC,0.12341407151095732
I-GPE_LOC,0.022779700115340255
B-GPE_ORG,0.017589388696655134
B-ORG,0.1502306805074971
I-ORG,0.07151095732410612
B-DRV,0.02249134948096886
B-LOC,0.05334486735870819
I-LOC,0.024509803921568627
B-EVT,0.004036908881199538
I-EVT,0.0011534025374855825
I-DRV,0.003748558246828143
I-GPE_ORG,0.002018454440599769
B-MISC,0.004036908881199538
I-MISC,0.0008650519031141869

train_stats_dataframe
,0
Total token count,489217.0
Sentence count,29870.0
Average sentence length,16.378205557415466
Total NE,32625.0

train_ner_labels_dataframe
,0
O,456592
B-PROD,1404
I-PROD,1417
B-LOC,1511
B-PER,8320
I-PER,4912
B-GPE_ORG,756
B-ORG,5601
B-DRV,969
I-ORG,2128
B-GPE_LOC,4222
I-DRV,169
B-MISC,14
I-GPE_LOC,277
I-LOC,424
B-EVT,274
I-EVT,157
I-GPE_ORG,66
I-MISC,4

train_ner_labels_proportion_dataframe
,0
B-PROD,0.04303448275862069
I-PROD,0.04343295019157088
B-LOC,0.046314176245210725
B-PER,0.2550191570881226
I-PER,0.15055938697318008
B-GPE_ORG,0.023172413793103447
B-ORG,0.17167816091954022
B-DRV,0.029701149425287357
I-ORG,0.06522605363984674
B-GPE_LOC,0.12940996168582375
I-DRV,0.00518007662835249
B-MISC,0.00042911877394636016
I-GPE_LOC,0.008490421455938698
I-LOC,0.012996168582375478
B-EVT,0.008398467432950191
I-EVT,0.004812260536398468
I-GPE_ORG,0.0020229885057471263
I-MISC,0.00012260536398467432
