
C_SAMPLES_CF_MATRIX_O_nbailab-base-ner-scandi_seed_101
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,3,0,15,0,0,0,0,0,1,0,1,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,1,0,0,0,0,0,69,2,0,0,1,0,4
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
B-PER,0,0,0,0,1,0,0,0,3,0,0,0,0,0,39,0,0,0,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,1,0,0,2,1,0,0,0,3,0,0,17,4,1,0,2,0,5191

C_SAMPLES_CF_MATRIX_O_nbailab-base-ner-scandi_seed_37
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,3,0,15,0,0,0,0,0,2,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,1,0,0,0,0,0,68,1,0,0,1,0,6
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
B-PER,0,0,0,0,1,0,0,0,3,0,0,0,0,0,39,0,0,0,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,1,1,0,0,0,3,0,0,17,1,4,0,0,0,5195

C_SAMPLES_CF_MATRIX_O_nbailab-base-ner-scandi_seed_42
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,3,0,13,0,0,0,0,0,2,0,2,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,1,0,0,0,0,0,0,0,66,2,0,0,2,0,6
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
B-PER,0,0,0,0,1,0,0,0,1,0,0,0,0,0,40,0,1,0,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,1,1,0,0,0,2,0,0,15,5,2,0,0,1,5195

C_SAMPLES_CF_MATRIX_O_nbailab-base-ner-scandi_seed_8
,B-DRV,I-DRV,B-EVT,I-EVT,B-GPE_LOC,I-GPE_LOC,B-GPE_ORG,I-GPE_ORG,B-LOC,I-LOC,B-MISC,I-MISC,B-ORG,I-ORG,B-PER,I-PER,B-PROD,I-PROD,O
B-DRV,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
I-DRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-EVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GPE_LOC,0,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0
I-GPE_LOC,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
B-GPE_ORG,0,0,0,0,3,0,15,0,0,0,0,0,2,0,0,0,0,0,0
I-GPE_ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-LOC,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
I-LOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I-MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,1,0,0,0,0,0,70,2,0,0,0,0,4
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
B-PER,0,0,0,0,1,0,0,0,3,0,0,0,0,0,39,0,0,0,0
I-PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
B-PROD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
I-PROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,1,0,0,0,0,3,0,0,10,6,2,0,0,0,5200
